Assembly	Level	WGS	BioSample	Strain	Taxonomy
GCA_024199795.1	Contig	JANADK010000001.1	SAMN28667590	CCGB01	Bradyrhizobium sp. CCGB01
GCA_024199845.1	Contig	JANADO000000000.1	SAMN28667586	CCGB12	Bradyrhizobium sp. CCGB12
GCA_024199855.1	Contig	JANADN000000000.1	SAMN28667587	CCGB20	Bradyrhizobium sp. CCGB20
GCA_024199935.1	Contig	JANADS000000000.1	SAMN28667582	CCGUVB14	Bradyrhizobium sp. CCGUVB14
GCA_024199925.1	Scaffold	JANADR000000000.1	SAMN28667583	CCGUVB1N3	Bradyrhizobium sp. CCGUVB1N3
GCA_024199885.1	Scaffold	JANADQ000000000.1	SAMN28667584	CCGUVB23	Bradyrhizobium sp. CCGUVB23
GCA_024199945.1	Contig	JANADP000000000.1	SAMN28667585	CCGUVB4N	Bradyrhizobium sp. CCGUVB4N
GCA_000296215.2	Contig	CP013949.1	SAMN02469422	CCGE-LA001	Bradyrhizobium sp. CCGE-LA001
